Name,mp,pp36,ap36,rp36,2pmp36,2pap36,3pmp36,3pap36
acyqu01,876.0,12.6,1.1,7.7,4.1,6.8,0.8,2.0
adamsst01,2014.0,11.4,1.1,9.5,4.7,7.6,0.0,0.0
afflaar01,2371.0,13.8,2.2,4.0,4.0,8.5,1.4,3.6
ajincal01,861.0,14.7,1.3,11.2,6.3,13.1,0.0,0.0
aldrico01,800.0,14.8,2.3,13.0,6.0,10.1,0.0,0.0
aldrila01,2261.0,21.2,1.8,10.1,8.5,16.4,0.0,0.3
allenla01,1599.0,9.6,1.7,9.5,4.3,8.3,0.0,0.0
allento01,1620.0,11.9,1.6,6.6,4.4,9.5,0.3,0.9
aminual01,2341.0,12.9,2.1,7.7,2.7,5.7,1.9,5.4
amundlo01,204.0,9.2,2.1,8.6,3.4,9.4,0.0,0.0
anderch01,804.0,9.379104477611941,1.094029850746269,8.808955223880597,3.000746268656717,5.191044776119403,0.3805970149253731,1.2835820895522387
anderal01,192.0,12.2,2.6,5.1,1.7,4.1,2.3,6.9
anderja01,721.0,8.9,2.0,4.3,2.2,4.6,1.1,4.3
anderju01,647.0,11.6,1.6,7.3,2.7,5.1,1.2,4.6
anderky01,1245.0,10.1,3.6,7.1,3.6,7.5,0.3,1.1
anderry01,2008.0,20.2,1.3,7.1,4.8,10.2,2.3,6.4
antetgi01,2823.0,17.2,4.4,7.8,6.2,11.5,0.4,1.4
anthoca01,2530.0,22.4,4.3,7.9,6.6,14.2,1.5,4.4
anthojo01,96.0,6.8,0.4,7.9,2.3,3.7,0.0,0.0
arizatr01,2859.0,12.9,2.4,4.6,2.2,4.5,2.3,6.3
arthuda01,1516.0,12.5,2.3,7.0,4.2,8.8,1.1,2.8
asikom01,1178.0,8.2,0.8,12.7,3.2,6.0,0.0,0.0
augusdj01,2356.0,14.287691001697794,6.077249575551782,2.894057724957555,2.425509337860781,5.599278438030559,2.095797962648557,5.097538200339558
pendeje02,107.0,10.1,1.7,7.4,4.0,7.4,0.0,0.3
babbilu01,845.0,13.9,2.3,6.3,3.3,7.7,1.9,4.6
bairsca01,103.0,11.9,2.1,9.8,4.2,12.2,0.3,1.7
barbole01,1079.0,14.4,2.7,3.9,4.4,8.7,1.3,3.7
bareajo01,1667.0,17.4,6.5,3.3,4.7,9.7,2.2,5.6
bargnan01,634.0,17.3,1.0,5.5,7.0,14.9,0.2,0.9
barneha02,2042.0,13.6,2.1,5.7,3.8,7.4,1.4,3.8
barnema02,2190.0,12.5,2.7,6.9,2.4,5.3,2.0,6.1
bartowi01,2353.0,18.0,3.1,7.3,4.8,10.1,1.7,5.0
bassbr01,1342.0,12.7,2.0,7.6,4.7,8.5,0.0,0.1
batumni01,2448.0,15.4,5.9,6.3,3.4,7.0,2.0,5.9
bayleje01,1505.0,12.9,3.9,3.4,2.0,4.9,2.4,5.5
baynear01,1233.0,15.0,1.5,11.2,5.7,11.2,0.0,0.1
bazemke01,2083.0,15.1,3.0,6.6,3.6,7.3,1.9,5.3
bealbr01,1708.0,20.2,3.4,4.0,5.4,11.1,2.2,5.7
beaslmi01,363.0,25.3,1.6,9.7,10.3,19.4,0.3,0.9
belinma01,1672.0,15.0,2.7,2.5,3.3,7.3,2.0,6.4
bennean01,84.0,12.0,0.0,9.9,2.1,5.6,1.3,6.0
beverpa01,2041.0,12.3,4.2,4.4,2.4,5.0,2.2,5.5
biyombi01,1808.0,9.0,0.6,13.0,3.1,5.7,0.0,0.0
bjeline01,1075.0,10.3,2.8,7.0,2.1,3.7,1.6,4.2
blackta01,496.0,9.7,1.2,11.4,4.1,7.5,0.0,0.0
blairde01,218.0,10.1,1.8,9.4,4.6,11.1,0.0,0.2
blakest01,986.0,9.3,7.3,3.2,1.5,3.2,1.9,5.5
bledser01,1059.0,21.5,6.5,4.2,5.9,12.3,1.6,4.4
bogdabo02,2115.0,15.1,1.7,4.3,3.3,7.0,2.2,5.8
bogutan01,1451.0,9.3,4.0,12.2,4.3,6.9,0.0,0.0
bonnema01,206.0,13.3,1.6,4.7,2.4,4.0,2.6,5.9
bookede01,2108.0,17.9,3.4,3.2,4.6,9.9,1.7,4.9
booketr01,1632.0,10.2,1.9,10.0,3.9,7.7,0.3,0.9
boshch01,1778.0,20.4,2.6,7.9,5.6,11.0,1.6,4.5
bradlav01,2536.0,16.4,2.2,3.1,4.4,8.7,2.1,5.8
brandel01,225.0,11.2,2.9,10.1,5.0,11.4,0.0,0.2
breweco01,1669.0,12.7,2.4,4.3,3.3,7.1,1.3,4.8
brookaa01,1108.0,16.0,5.8,3.3,4.0,9.2,2.1,6.0
brownan02,599.0,6.9,1.1,4.2,1.1,3.4,1.2,4.2
brownlo01,61.0,11.8,6.5,4.1,4.1,10.0,0.6,4.7
brownma02,982.0,13.3,3.3,4.5,3.3,7.4,1.4,4.4
bryanko01,1863.0,22.4,3.6,4.8,5.1,12.5,2.6,9.0
budinch01,1858.0,10.51388589881593,2.4822927879440257,5.813885898815932,3.093057050592034,5.9208288482238975,0.9177072120559742,3.3177072120559736
bullore01,429.0,10.2,2.3,5.7,1.8,3.8,1.8,4.4
burketr01,1366.0,17.9,3.9,3.0,4.6,10.0,2.3,6.7
burksal01,797.0,18.6,2.8,4.9,4.7,11.5,1.4,3.6
butleca01,176.0,12.9,2.0,4.5,4.5,8.4,0.6,3.7
butleji01,2474.0,20.4,4.7,5.2,5.9,12.1,0.9,3.0
butlera01,432.0,10.3,2.0,4.7,2.8,4.6,1.2,4.1
caldejo01,2024.0,9.7,5.3,4.1,2.2,4.5,1.5,3.6
caldwke01,2789.0,14.3,1.8,3.6,3.7,7.6,1.5,4.8
canaais01,1966.0,15.5,2.5,3.2,1.5,4.3,3.2,8.9
capelca01,1471.0,13.3,1.2,12.1,5.7,9.7,0.0,0.0
carrode01,786.0,13.1,1.2,5.6,2.7,7.0,2.1,5.4
cartevi01,1005.0,14.1,2.0,5.2,2.7,6.2,2.1,6.1
cartemi01,1649.0,13.6,6.1,6.0,5.2,10.9,0.3,1.2
casspom01,1880.0,15.6,1.8,7.9,3.6,6.7,2.1,5.2
caulewi01,1412.0,11.8,0.9,9.0,4.9,8.6,0.0,0.1
chalmma01,2746.0,16.485360524399127,6.032520029133284,4.104369992716678,3.560670065549891,7.7300801165331405,1.2063000728332118,3.919410050983249
chandty01,1618.0,10.5,1.4,12.8,4.1,7.0,0.0,0.0
clarkia01,578.0,14.7,4.0,4.2,3.7,7.3,1.9,5.2
clarkjo01,2552.0,17.3,2.7,4.4,5.1,11.0,1.6,4.5
coleno01,1198.0,14.3,5.0,4.5,4.9,11.5,1.0,3.1
collida01,2219.0,16.8,5.2,2.7,4.7,9.1,1.4,3.5
collini01,699.0,6.3,2.7,8.8,2.6,5.5,0.0,0.1
conlemi01,1761.0,17.5,7.0,3.4,4.4,9.8,1.6,4.4
connapa01,143.0,9.1,2.5,8.1,2.0,7.0,1.3,5.3
copelch01,156.0,11.5,2.5,2.3,1.6,3.5,2.3,8.3
cottobr01,78.0,7.407692307692309,2.7961538461538455,0.0,3.7038461538461545,6.5,0.0,2.7961538461538455
couside01,2246.0,28.0,3.4,12.0,8.5,18.0,1.1,3.4
covinro01,1903.0,16.2,1.8,7.9,2.0,4.4,3.2,9.1
crabbal01,2105.0,14.2,1.7,3.7,3.4,6.7,1.9,4.9
crawfja01,2126.0,19.0,3.1,2.5,4.4,10.1,2.0,5.8
crowdja01,2308.0,16.2,2.1,5.8,3.7,7.0,1.9,5.7
cunnida01,1971.0,8.8,1.4,4.3,2.4,4.3,1.0,3.2
cunnija01,820.0,10.5,1.7695121951219512,3.301219512195122,2.0896341463414636,5.806097560975609,1.0701219512195121,3.3939024390243904
curryse01,692.0,15.6,3.5,3.1,2.7,5.9,2.6,5.8
curryst01,2700.0,31.7,7.0,5.7,5.4,9.5,5.4,11.8
danietr01,476.0,18.3,1.6,4.3,2.3,4.9,4.5,9.2
davisan02,2164.0,24.6,1.9,10.4,8.7,17.1,0.6,1.8
davised01,1684.0,11.2,1.9,12.8,4.4,7.2,0.0,0.0
dedmode01,705.0,13.0,0.7,11.6,5.1,9.0,0.0,0.0
dejeabr01,279.0,10.2,1.9,6.2,2.1,4.8,1.5,4.1
dellama01,1867.0,11.0,6.5,3.1,2.1,5.2,1.9,4.6
denglu01,2394.0,13.7,2.1,6.7,3.8,7.4,1.3,3.8
derozde01,2804.0,23.5,4.0,4.5,7.3,15.9,0.6,1.8
diawbo01,1386.0,12.6,4.6,6.1,4.6,8.2,0.6,1.8
dienggo01,2220.0,13.4,2.3,9.5,4.9,9.1,0.1,0.3
dinwisp01,159.0,13.1,5.0,3.8,4.1,10.0,0.2,2.3
douglto01,1262.0,15.1,4.5,4.1,2.9,6.9,2.3,5.8
dragigo01,2363.0,15.5,6.4,4.2,5.4,10.2,1.0,3.1
drumman01,2666.0,17.7,0.9,16.2,7.4,14.2,0.0,0.1
dudleja01,2098.0,10.9,2.9,4.9,2.3,4.3,1.7,4.1
duncati01,1536.0,12.2,3.8,10.5,5.0,10.3,0.0,0.0
dunlemi02,703.0,11.4,2.0,4.3,1.9,4.6,2.0,5.1
duranke01,2578.0,28.3,5.0,8.2,7.1,12.6,2.6,6.7
earlycl01,154.0,7.2,1.4,6.1,1.9,5.8,0.9,3.5
eddieja01,147.0,15.4,1.2,5.6,1.2,4.4,3.7,11.5
ellinwa01,1615.0,13.1,1.9,3.9,2.7,6.5,2.1,6.0
ellismo01,2734.0,14.8,5.0,3.6,4.6,9.7,1.1,3.7
ennisja01,658.0,17.41823708206687,2.2993920972644375,4.611550151975683,3.0737082066869297,6.016413373860183,2.8379939209726444,6.330547112462006
ennisty01,654.0,11.3,5.2,4.1,3.9,8.1,0.7,2.1
evansje01,251.0,10.2,0.3,7.7,3.2,4.6,0.6,2.3
evansty01,765.0,17.8,7.7,6.1,4.8,10.8,1.6,4.0
ezelife01,770.0,15.0,1.5,12.0,5.8,10.7,0.0,0.0
farieke01,1694.0,17.7,1.7,12.3,7.4,13.3,0.0,0.0
farmajo01,291.0,13.6,4.6,3.1,3.2,6.8,2.0,5.6
favorde01,1983.0,18.4,1.7,9.1,7.6,14.7,0.0,0.1
feliccr01,321.0,11.8,2.9,11.4,4.5,7.6,0.0,0.4
feltora01,2192.0,12.5,4.7,4.2,3.6,7.7,1.0,3.5
fournev01,2566.0,17.0,3.0,3.2,3.8,7.6,2.2,5.5
foyera01,3284.0,10.406151035322779,3.5280755176613887,3.397746650426309,2.095493300852619,5.090986601705238,1.63258221680877,5.495493300852618
fraziti01,1482.0,12.693117408906883,7.889271255060729,5.313292847503374,3.8911605937921725,8.800674763832658,0.7898785425101216,2.3316464237516867
fryech01,2400.0,12.710583333333332,2.1,6.998666666666666,1.8300833333333333,3.3800833333333333,2.723,7.031833333333334
gallida01,1839.0,20.3,2.6,5.5,3.9,9.0,1.7,4.7
gallola01,2033.0,11.1,3.7,5.1,2.7,6.4,1.4,4.0
garneke01,556.0,7.9,4.0,9.7,3.5,7.4,0.0,0.1
gasolma01,1791.0,17.3,3.9,7.3,6.6,14.2,0.0,0.1
gasolpa01,2291.0,18.7,4.6,12.5,7.0,14.6,0.4,1.1
gayru01,2379.0,18.2,1.8,6.9,5.9,12.0,1.1,3.3
geeal01,1632.0,7.2,1.6,5.4,2.5,4.3,0.4,1.3
georgpa01,2819.0,23.9,4.2,7.2,5.0,11.3,2.7,7.2
gibsota01,1936.0,11.7,2.0,9.4,4.9,9.2,0.0,0.1
ginobma01,1134.0,17.6,5.6,4.6,4.0,8.1,2.2,5.7
goberru01,1932.0,10.4,1.7,12.4,3.7,6.6,0.0,0.0
goodedr01,305.0,9.7,1.5,10.0,3.1,7.3,0.8,4.8
goodwar01,1114.0,16.3,3.8,4.6,4.9,10.4,0.7,3.2
gordoaa01,1863.0,13.9,2.5,9.8,4.5,8.4,0.8,2.7
gordoer01,1481.0,16.7,2.9,2.4,2.9,6.3,2.7,7.1
gortama01,2256.0,16.1,1.7,11.8,6.9,12.2,0.0,0.0
goudean01,50.0,15.8,2.9,1.4,5.8,7.9,0.7,6.5
grantje01,2066.0,13.1,2.4,6.3,3.8,7.9,0.6,2.5
grantje02,1265.0,12.1,5.0,4.1,3.8,8.3,0.6,2.8
greenda02,2062.0,10.0,2.5,5.3,1.7,3.7,2.0,6.1
greendr01,2808.0,14.5,7.7,9.9,3.9,7.2,1.3,3.3
greener01,84.0,11.133333333333335,2.6,5.1,3.4083333333333328,6.866666666666666,0.8666666666666668,4.283333333333333
greenge01,1557.0,14.2,1.3,3.8,3.4,7.6,1.9,6.0
greenja01,1446.0,14.4,1.7,9.3,5.4,11.2,0.4,1.1
greenje02,4506.0,15.018530847758544,2.202796271637816,5.2926542387927205,4.5842654238792715,9.768530847758546,1.097203728362184,3.4101420328450955
griffbl01,1170.0,23.0,5.2,9.0,9.1,18.0,0.2,0.6
gutiejo01,63.0,12.6,9.7,4.0,3.4,5.1,0.0,1.1
hairspj02,2626.0,11.228522467631379,1.0214394516374714,4.778598629093679,2.0713632901751713,4.585605483625286,1.9143183549124143,6.6
hamiljo02,304.0,14.8,3.0,7.3,4.3,8.4,1.5,5.3
hansbty01,343.0,10.9,0.8,9.3,3.1,7.1,0.2,0.3
hardati02,864.0,13.6,2.1,3.6,2.7,5.1,2.0,5.9
hardeja01,3125.0,27.4,7.1,5.8,5.5,11.1,2.7,7.6
harklma01,1457.0,12.3,1.7,6.9,3.9,6.7,1.0,3.5
harremo01,379.0,13.3,1.6,6.2,5.5,8.5,0.0,0.1
harride01,1280.0,13.7,3.3,3.9,3.2,6.1,1.5,4.4
harriga01,2439.0,13.8,2.2,3.2,3.7,6.9,1.5,4.4
harrito02,5026.0,16.003064066852367,2.407799442896936,7.288300835654596,4.825766016713091,9.305431754874652,1.135933147632312,3.4179665738161553
harriaa01,93.0,7.0,0.8,5.8,0.8,3.5,1.2,3.9
hasleud01,260.0,8.2,1.9,10.4,3.0,7.2,0.1,1.2
hawessp01,1035.0,11.8,3.8,8.5,3.0,7.1,1.3,3.5
haywago01,2893.0,19.6,3.7,4.9,4.7,9.9,1.8,5.1
hendege02,1431.0,15.7,1.9,5.3,4.6,9.9,1.2,3.4
hensojo01,960.0,14.9,2.0,8.3,6.1,10.9,0.0,0.0
hezonma01,1413.0,12.2,2.8,4.5,2.9,5.8,1.7,4.9
hibbero01,1878.0,9.2,1.8,7.6,3.5,7.8,0.0,0.0
hicksjj01,872.0,17.020642201834864,1.9000000000000001,10.915481651376147,6.610091743119266,12.724885321100917,0.0,0.09506880733944954
hilarne01,1094.0,17.3,3.2,8.5,6.9,12.5,0.0,0.1
hillge01,2524.0,12.8,3.7,4.3,2.8,6.1,1.8,4.5
hilljo01,1513.0,15.3,2.1,10.7,6.6,13.0,0.0,0.0
hillso01,866.0,10.2,2.4,6.9,2.9,5.6,1.0,3.1
hillida01,383.0,14.3,2.5,4.2,3.1,7.6,1.8,4.7
hinriki01,1262.0,7.826624405705229,4.168621236133123,4.014421553090332,1.433755942947702,3.8036450079239295,1.3897781299524565,3.5018225039619653
holidjr01,1831.0,21.4,7.7,3.8,6.4,13.3,1.7,5.1
holidju01,1546.0,11.103557567917205,2.6108020698576975,4.18091849935317,2.413906856403622,5.7066623544631305,1.6819534282018112,4.890232858990944
holliry01,920.0,9.68608695652174,0.8030434782608695,7.681304347826086,3.8030434782608697,6.192608695652174,0.0,0.0
holliro01,615.0,9.8,2.5,9.0,3.5,7.3,0.2,0.8
holmeri01,702.0,14.7,1.7,6.9,5.4,9.1,0.4,2.3
hoodro01,2541.0,16.3,3.0,3.8,3.5,7.4,2.3,6.4
horfoal01,2631.0,17.1,3.6,8.2,6.0,10.8,1.2,3.5
howardw01,2280.0,15.4,1.5,13.2,5.9,9.4,0.0,0.1
huertma01,869.0,9.8,7.5,3.7,3.4,7.0,0.7,2.5
huestjo01,55.0,9.2,0.0,6.5,0.7,3.9,2.6,3.9
humphkr01,1670.0,14.80047904191617,1.56814371257485,9.411556886227546,3.791497005988024,8.06311377245509,1.4953892215568863,4.689401197604791
hunterj01,315.0,11.1,1.5,4.2,1.9,4.0,2.2,7.2
ibakase01,2500.0,14.2,1.0,7.7,5.1,9.9,0.9,2.6
iguodan01,1732.0,9.5,4.6,5.5,2.5,4.4,1.1,3.2
ilyaser01,3762.0,14.690590111642742,1.3024720893141946,7.708931419457735,3.5237639553429028,7.71634768740032,1.828708133971292,4.974242424242424
inglejo01,1241.0,9.9,2.8,4.4,1.2,2.3,2.3,6.1
inglida01,156.0,8.3,2.3,7.2,2.3,5.5,0.7,3.0
irvinky01,1667.0,22.5,5.4,3.4,6.7,13.3,1.8,5.7
jackja01,1027.0,14.4,8.3,4.8,3.8,9.0,1.1,3.6
jacksre01,2424.0,22.1,7.3,3.8,6.3,13.5,1.8,5.0
jamesle01,2709.0,25.5,6.8,7.5,8.6,15.1,1.2,3.7
jeffeal01,1096.0,18.5,2.3,9.9,8.0,16.6,0.0,0.0
jeffeco01,50.0,15.8,0.0,11.5,6.5,15.1,0.0,0.7
jefferi01,1326.0,11.1,1.6,3.5,2.1,3.8,1.8,4.7
jenkijo01,960.0,13.339166666666667,2.628333333333333,4.2896875,4.0912500000000005,8.192291666666668,1.1989583333333333,3.7994791666666665
jennibr01,1736.0,13.77811059907834,7.094700460829493,4.0,2.5,6.184331797235023,2.1260368663594473,6.419815668202766
jerebjo01,1176.0,10.4,1.9,8.8,2.3,5.4,1.3,3.3
johnsam01,1800.0,11.5,2.8,10.1,4.8,7.7,0.2,0.9
johnsch04,857.0,8.6,1.9,5.5,1.9,4.0,1.1,4.2
johnsja01,926.0,11.2,2.6,4.9,3.7,6.8,0.8,2.6
johnsjo02,5406.0,13.205623381428044,4.207325194228635,3.9077506474287826,3.399149093599704,7.2995745467998505,1.6,4.193100258971513
johnsor01,202.0,9.302970297029702,0.6975247524752474,5.324752475247524,2.505940594059406,8.57920792079208,0.7232673267326731,3.566336633663367
johnsst04,1687.0,12.7,2.5,6.5,3.5,8.4,1.3,4.4
johnsty01,863.0,13.1,3.3,4.5,3.8,7.2,1.1,3.0
johnswe01,1666.0,11.9,1.1,5.4,2.3,4.5,2.2,6.7
jokicni01,1733.0,16.5,3.9,11.6,5.8,10.7,0.6,1.7
jonesja02,463.0,13.8,1.1,3.9,1.3,3.0,3.2,8.1
joneste01,1044.0,15.0,1.4,7.3,4.9,9.9,0.9,2.7
jonesty01,573.0,9.8,6.8,3.0,2.5,6.5,1.0,3.3
